"","BIOME_NAME","biomass_crop","biomass_pasture","area_crop","area_pasture","total_area","total_biomass","density_crop","density_pasture"
"1","Boreal Forests/Taiga",16.4984008427384,31.1438685430508,17.1994390381323,8.8267548621484,26.0261939002807,47.6422693857892,0.959240636055654,3.52834864335073
"2","Deserts & Xeric Shrublands",32.4127040010075,91.9209035684692,159.613322891923,644.118007889233,803.731330781156,124.333607569477,0.203070166159969,0.142708172171265
"3","Flooded Grasslands & Savannas",46.7683426971334,142.302181775202,17.0703349520373,24.3451527444814,41.4154876965186,189.070524472336,2.73974370324537,5.84519568510244
"4","Mangroves",18.8951432936269,20.7551901800629,4.91251228626305,2.94302917637349,7.85554146263654,39.6503334736898,3.8463299820061,7.05232226261453
"5","Mediterranean Forests, Woodlands & Scrub",93.6467101183498,59.0116156428451,125.76969535748,54.8491179176476,180.618813275127,152.658325761195,0.744588828431002,1.07588996657061
"6","Montane Grasslands & Shrublands",214.154151320309,135.923700371427,32.8856269189448,144.662308337843,177.547935256787,350.077851691736,6.51208966908697,0.939593055946493
"7","Temperate Broadleaf & Mixed Forests",372.03728578571,114.302941395353,437.964725348823,52.5699292265362,490.53465457536,486.340227181063,0.849468608435063,2.17430274449857
"8","Temperate Conifer Forests",25.673868853085,72.4230310793112,19.6099764215288,38.1124794223223,57.722455843851,98.0968999323962,1.30922487111708,1.90024454396671
"9","Temperate Grasslands, Savannas & Shrublands",111.901150606159,99.1452446676598,410.161959196323,330.265533614132,740.427492810456,211.046395273819,0.272821864868745,0.300198581373909
"10","Tropical & Subtropical Coniferous Forests",23.7804952589466,16.4509101563657,7.28391144213273,6.10835956806254,13.3922710101953,40.2314054153123,3.26479741659019,2.69317972739833
"11","Tropical & Subtropical Dry Broadleaf Forests",116.429050937062,128.218202894329,130.2263431633,21.7584926061298,151.98483576943,244.647253831391,0.894051450028531,5.89278886250638
"12","Tropical & Subtropical Grasslands, Savannas & Shrublands",1253.97613980182,2489.76684971938,279.916963060018,490.486950181077,770.403913241095,3743.7429895212,4.47981474967971,5.0761123181773
"13","Tropical & Subtropical Moist Broadleaf Forests",752.170135408002,460.242897076135,227.676181343655,56.2245826480023,283.900763991658,1212.41303248414,3.30368390302837,8.18579481429886
"14","Tundra",0.227690101358,8.04158127498317,0.036015655224,13.4534302193032,13.4894458745272,8.26927137634117,6.3219758169573,0.597734640452143
