97," Suriname",,"SUR"
7," Sweden","0.903","SWE"
2," Switzerland","0.898","CHE"
151," Syrian Arab Republic","0.600","SYR"
125," Tajikistan","0.555","TJK"
163," Tanzania (United Republic of)","0.390","TZA"
79," Thailand","0.652","THA"
141," Timor-Leste","0.484","TLS"
167," Togo","0.427","TGO"
104," Tonga","0.675","TON"
67," Trinidad and Tobago","0.717","TTO"
95," Tunisia","0.651","TUN"
54," Turkey","0.660","TUR"
111," Turkmenistan",,"TKM"
159," Uganda","0.404","UGA"
74," Ukraine","0.694","UKR"
31," United Arab Emirates","0.782","ARE"
13," United Kingdom","0.874","GBR"
17," United States","0.886","USA"
55," Uruguay","0.743","URY"
106," Uzbekistan","0.599","UZB"
140," Vanuatu",,"VUT"
113," Venezuela (Bolivarian Republic of)","0.676","VEN"
117," Viet Nam","0.586","VNM"
179," Yemen","0.444","YEM"
146," Zambia","0.425","ZMB"
150," Zimbabwe","0.430","ZWE"
